Entity,Code,Year,deforestation_hectares
Grassland,,2001,28507
Grassland,,2002,36818
Grassland,,2003,93069
Grassland,,2004,55472
Grassland,,2005,77292
Grassland,,2006,58190
Grassland,,2007,127051
Grassland,,2008,41976
Grassland,,2009,102123
Grassland,,2010,76849
Grassland,,2011,62937
Grassland,,2012,81932
Grassland,,2013,79146
Grassland,,2014,271204
Grassland,,2015,158286
Grassland,,2016,490031
Large scale plantations,,2001,6901
Large scale plantations,,2002,986
Large scale plantations,,2003,3202
Large scale plantations,,2004,12104
Large scale plantations,,2005,18418
Large scale plantations,,2006,14645
Large scale plantations,,2007,22578
Large scale plantations,,2008,36032
Large scale plantations,,2009,52801
Large scale plantations,,2010,21448
Large scale plantations,,2011,35045
Large scale plantations,,2012,117782
Large scale plantations,,2013,72144
Large scale plantations,,2014,79204
Large scale plantations,,2015,67043
Large scale plantations,,2016,55877
Logging road and secondary forests,,2001,43931
Logging road and secondary forests,,2002,54016
Logging road and secondary forests,,2003,32499
Logging road and secondary forests,,2004,62362
Logging road and secondary forests,,2005,49784
Logging road and secondary forests,,2006,66361
Logging road and secondary forests,,2007,35199
Logging road and secondary forests,,2008,48815
Logging road and secondary forests,,2009,56335
Logging road and secondary forests,,2010,38828
Logging road and secondary forests,,2011,40385
Logging road and secondary forests,,2012,63392
Logging road and secondary forests,,2013,36039
Logging road and secondary forests,,2014,75417
Logging road and secondary forests,,2015,133767
Logging road and secondary forests,,2016,74881
Oil palm plantations,,2001,33086
Oil palm plantations,,2002,26880
Oil palm plantations,,2003,38410
Oil palm plantations,,2004,84838
Oil palm plantations,,2005,179593
Oil palm plantations,,2006,173485
Oil palm plantations,,2007,178355
Oil palm plantations,,2008,196332
Oil palm plantations,,2009,271589
Oil palm plantations,,2010,165634
Oil palm plantations,,2011,183548
Oil palm plantations,,2012,180096
Oil palm plantations,,2013,117928
Oil palm plantations,,2014,108702
Oil palm plantations,,2015,94581
Oil palm plantations,,2016,47920
Other,,2001,16561
Other,,2002,25407
Other,,2003,11033
Other,,2004,28009
Other,,2005,10284
Other,,2006,33770
Other,,2007,48004
Other,,2008,14645
Other,,2009,33182
Other,,2010,23298
Other,,2011,46948
Other,,2012,25275
Other,,2013,6898
Other,,2014,60527
Other,,2015,23508
Other,,2016,41974
Small-scale clearing,,2001,40960
Small-scale clearing,,2002,74485
Small-scale clearing,,2003,46182
Small-scale clearing,,2004,168633
Small-scale clearing,,2005,115889
Small-scale clearing,,2006,111777
Small-scale clearing,,2007,95289
Small-scale clearing,,2008,116787
Small-scale clearing,,2009,140490
Small-scale clearing,,2010,86636
Small-scale clearing,,2011,114210
Small-scale clearing,,2012,241047
Small-scale clearing,,2013,83351
Small-scale clearing,,2014,112499
Small-scale clearing,,2015,193457
Small-scale clearing,,2016,282512
Timber plantations,,2001,36367
Timber plantations,,2002,57400
Timber plantations,,2003,22823
Timber plantations,,2004,74800
Timber plantations,,2005,48789
Timber plantations,,2006,51753
Timber plantations,,2007,67671
Timber plantations,,2008,50826
Timber plantations,,2009,71056
Timber plantations,,2010,148997
Timber plantations,,2011,161774
Timber plantations,,2012,212842
Timber plantations,,2013,99586
Timber plantations,,2014,73732
Timber plantations,,2015,58432
Timber plantations,,2016,24178